title,doi,arxiv_id,abstract_decision,fulltext_decision,title_screened_502,enriched_464,abstract_pool_552,fulltext_queue_387,extraction_224,final_123
AutoLoRA: Automatically Tuning Matrix Ranks in Low-Rank Adaptation Based on Meta Learning,10.48550/arXiv.2403.09113,2403.09113,SKIP,DEFER,1,1,1,1,0,0
SiRA: Sparse Mixture of Low Rank Adaptation,10.48550/arXiv.2311.09179,2311.09179,SKIP,DEFER,1,1,1,1,0,0
Relaxed Recursive Transformers: Effective Parameter Sharing with Layer-wise LoRA,10.48550/arXiv.2410.20672,2410.20672,SKIP,DEFER,1,1,1,1,0,0
QDyLoRA: Quantized Dynamic Low-Rank Adaptation for Efficient Large Language Model Tuning,10.48550/arXiv.2402.10462,2402.10462,SKIP,DEFER,1,1,1,1,0,0
Language and Task Arithmetic with Parameter-Efficient Layers for Zero-Shot Summarization,10.48550/arXiv.2311.09344,2311.09344,SKIP,DEFER,1,1,1,1,0,0
Neural Architecture Search for Parameter-Efficient Fine-tuning of Large Pre-trained Language Models,10.48550/arXiv.2305.16597,2305.16597,SKIP,DEFER,1,1,1,1,0,0
ApiQ: Finetuning of 2-Bit Quantized Large Language Model,10.48550/arXiv.2402.05147,2402.05147,SKIP,DEFER,1,1,1,1,0,0
Parameter-efficient fine-tuning of large language models using semantic knowledge tuning,10.1038/s41598-024-75599-4,2410.08598,SKIP,DEFER,1,1,1,1,0,0
INT2.1: Towards Fine-Tunable Quantized Large Language Models with Error Correction through Low-Rank Adaptation,10.48550/arXiv.2306.08162,2306.08162,SKIP,DEFER,1,1,1,1,0,0
Prefix Propagation: Parameter-Efficient Tuning for Long Sequences,10.48550/arXiv.2305.12086,2305.12086,SKIP,DEFER,1,1,1,1,0,0
L4Q: Parameter Efficient Quantization-Aware Fine-Tuning on Large Language Models,10.18653/v1/2025.acl-long.99,,SKIP,DEFER,1,1,1,1,0,0
MeteoRA: Multiple-tasks Embedded LoRA for Large Language Models,10.48550/arXiv.2405.13053,2405.13053,SKIP,DEFER,1,1,1,1,0,0
Let the Expert Stick to His Last: Expert-Specialized Fine-Tuning for Sparse Architectural Large Language Models,10.48550/arXiv.2407.01906,2407.01906,SKIP,DEFER,1,1,1,1,0,0
MerA: Merging Pretrained Adapters For Few-Shot Learning,10.48550/arXiv.2308.15982,2308.15982,SKIP,DEFER,1,1,1,1,0,0
Parameter-efficient Weight Ensembling Facilitates Task-level Knowledge Transfer,10.18653/v1/2023.acl-short.24,,SKIP,DEFER,1,1,1,1,0,0
FAD-X: Fusing Adapters for Cross-lingual Transfer to Low-Resource Languages,10.18653/v1/2022.aacl-short.8,,SKIP,DEFER,1,1,1,1,0,0
MoS: Unleashing Parameter Efficiency of Low-Rank Adaptation with Mixture of Shards,10.48550/arXiv.2410.00938,2410.00938,SKIP,DEFER,1,1,1,1,0,0
ETHER: Efficient Finetuning of Large-Scale Models with Hyperplane Reflections,10.48550/arXiv.2405.20271,2405.20271,SKIP,DEFER,1,1,1,1,0,0
LongQLoRA: Efficient and Effective Method to Extend Context Length of Large Language Models,10.48550/arXiv.2311.04879,2311.04879,SKIP,DEFER,1,1,1,1,0,0
Unveiling LoRA Intrinsic Ranks via Salience Analysis,10.52202/079017-4182,,SKIP,DEFER,1,1,1,1,0,0
Pruning Adapters with Lottery Ticket,10.3390/a15020063,,SKIP,DEFER,1,1,1,1,0,0
