cite_key,entry_type,title,venue_raw,venue_category,year,doi,doi_type
JiangCollab2017,inproceedings,Collaborative Deep Learning in Fixed Topology Networks,Advances in Neural Information Processing Systems (NeurIPS),NeurIPS,2017,10.48550/arXiv.1706.07880,arXiv DOI
Lian2017Decentralized,inproceedings,Can Decentralized Algorithms Outperform Centralized Algorithms? A Case Study for Decentralized Parallel Stochastic Gradient Descent,Advances in Neural Information Processing Systems (NeurIPS),NeurIPS,2017,10.48550/arXiv.1705.09056,arXiv DOI
Vaswani2017,inproceedings,Attention Is All You Need,Advances in Neural Information Processing Systems (NeurIPS),NeurIPS,2017,10.48550/arXiv.1706.03762,arXiv DOI
WangSuperGLUE2019,inproceedings,SuperGLUE: A Stickier Benchmark for General-Purpose Language Understanding Systems,Advances in Neural Information Processing Systems (NeurIPS),NeurIPS,2019,10.48550/arXiv.1905.00537,arXiv DOI
BrownGPT32020,inproceedings,Language Models Are Few-Shot Learners,Advances in Neural Information Processing Systems (NeurIPS),NeurIPS,2020,10.48550/arXiv.2005.14165,arXiv DOI
RyabininCrowdsourced2020,inproceedings,Towards Crowdsourced Training of Large Neural Networks using Decentralized Mixture-of-Experts,Advances in Neural Information Processing Systems (NeurIPS),NeurIPS,2020,10.48550/arXiv.2002.04013,arXiv DOI
MahabadiCompacter2021,inproceedings,Compacter: Efficient Low-Rank Hypercomplex Adapter Layers,Advances in Neural Information Processing Systems (NeurIPS),NeurIPS,2021,10.48550/arXiv.2110.16277,arXiv DOI
Zhou2022,inproceedings,Mixture-of-Experts with Expert Choice Routing,Advances in Neural Information Processing Systems (NeurIPS),NeurIPS,2022,10.48550/arXiv.2202.09368,arXiv DOI
Dettmers2023,inproceedings,QLoRA: Efficient Finetuning of Quantized Language Models,Advances in Neural Information Processing Systems (NeurIPS),NeurIPS,2023,10.48550/arXiv.2305.14314,arXiv DOI
Yadav2023TIES,inproceedings,TIES-Merging: Resolving Interference When Merging Models,Advances in Neural Information Processing Systems (NeurIPS),NeurIPS,2023,10.48550/arXiv.2306.01708,arXiv DOI
WangFLoRA2024,inproceedings,FLoRA: Federated Fine-Tuning Large Language Models with Heterogeneous Low-Rank Adaptations,Advances in Neural Information Processing Systems (NeurIPS),NeurIPS,2024,10.48550/arXiv.2409.05976,arXiv DOI
SemanticScholar2023,misc,Semantic Scholar Academic Graph API,r̆lhttps://api.semanticscholar.org,R̆Lhttps://Api.Semanticscholar.Org,2023,,no DOI
KwonPagedAttention2023,inproceedings,Efficient Memory Management for Large Language Model Serving with PagedAttention,ACM Symposium on Operating Systems Principles (SOSP),SOSP,2023,10.1145/3600006.3613165,venue DOI
YuOrca2022,inproceedings,Orca: A Distributed Serving System for Transformer-Based Generative Models,USENIX Symposium on Operating Systems Design and Implementation (OSDI),USENIX (OSDI/ATC/NSDI),2022,,no DOI
LiAlpaServe2023,inproceedings,AlpaServe: Statistical Multiplexing with Model Parallelism for Deep Learning Serving,USENIX Symposium on Operating Systems Design and Implementation (OSDI),USENIX (OSDI/ATC/NSDI),2023,10.48550/arXiv.2302.11665,arXiv DOI
FuServerlessLLM2024,inproceedings,ServerlessLLM: Low-Latency Serverless Inference for Large Language Models,USENIX Symposium on Operating Systems Design and Implementation (OSDI),USENIX (OSDI/ATC/NSDI),2024,10.48550/arXiv.2401.14351,arXiv DOI
Li2024CaraServe,inproceedings,"Toppings: CPU-Assisted, Rank-Aware Adapter Serving for LLM Inference",USENIX Annual Technical Conference (ATC),USENIX (OSDI/ATC/NSDI),2025,,no DOI
CohenBitTorrent2003,inproceedings,Incentives Build Robustness in BitTorrent,Workshop on Economics of Peer-to-Peer Systems (P2PEcon),Workshop On Economics Of Peer-To-Peer Systems (P2Pecon),2003,,no DOI
Babakniya2023,misc,SLoRA: Federated Parameter Efficient Fine-Tuning of Language Models,arXiv preprint,arXiv preprint,2023,10.48550/arXiv.2308.06522,arXiv DOI
Huang2023,misc,LoraHub: Efficient Cross-Task Generalization via Dynamic LoRA Composition,arXiv preprint,arXiv preprint,2023,10.48550/arXiv.2307.13269,arXiv DOI
Ponti2023,misc,Combining Modular Skills in Multitask Learning,arXiv preprint,arXiv preprint,2023,10.48550/arXiv.2202.13914,arXiv DOI
TouvronLLaMA2023,misc,LLaMA: Open and Efficient Foundation Language Models,arXiv preprint,arXiv preprint,2023,10.48550/arXiv.2302.13971,arXiv DOI
JiangMixtral2024,misc,Mixtral of Experts,arXiv preprint,arXiv preprint,2024,10.48550/arXiv.2401.04088,arXiv DOI
LiMixLoRA2024,misc,MixLoRA: Enhancing Large Language Models Fine-Tuning with LoRA-Based Mixture of Experts,arXiv preprint,arXiv preprint,2024,10.48550/arXiv.2404.15159,arXiv DOI
LinSplitLoRA2024,misc,SplitLoRA: A Split Parameter-Efficient Fine-Tuning Framework for Large Language Models,arXiv preprint,arXiv preprint,2024,10.48550/arXiv.2407.00952,arXiv DOI
LuoMoELoRA2024,misc,MoELoRA: Contrastive Learning Guided Mixture of Experts on Parameter-Efficient Fine-Tuning for Large Language Models,arXiv preprint,arXiv preprint,2024,10.48550/arXiv.2402.12851,arXiv DOI
YanFeDeRA2024,misc,FeDeRA: Efficient Fine-Tuning of Language Models in Federated Learning Leveraging Weight Decomposition,arXiv preprint,arXiv preprint,2024,10.48550/arXiv.2404.18848,arXiv DOI
Ghiasvand2025,misc,Decentralized Low-Rank Fine-Tuning of Large Language Models,arXiv preprint,arXiv preprint,2025,10.48550/arXiv.2501.15361,arXiv DOI
KitchenhamCharters2007,techreport,Guidelines for Performing Systematic Literature Reviews in Software Engineering,Keele University,institutional report/thesis,2007,,no DOI
RadfordGPT22019,techreport,Language Models Are Unsupervised Multitask Learners,OpenAI,institutional report/thesis,2019,,no DOI
Sajina2025,phdthesis,Deep Learning Personalization Methods in Peer-to-peer Heterogeneous Systems,"University of Rijeka, Faculty of Informatics and Digital Technologies",institutional report/thesis,2025,,no DOI
Webster2002,article,Analyzing the Past to Prepare for the Future: Writing a Literature Review,MIS Q.,journal (misc.),2002,10.2307/4132319,venue DOI
BenDavid2010,article,A theory of learning from different domains,Mach. Learn.,journal (misc.),2010,10.1007/s10994-009-5152-4,venue DOI
XiaoWatson2019,article,Guidance on Conducting a Systematic Literature Review,J. Plan. Educ. Res.,journal (misc.),2019,10.1177/0739456X17723971,venue DOI
RaffelT52020,article,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,J. Mach. Learn. Res.,journal (misc.),2020,10.48550/arXiv.1910.10683,arXiv DOI
Savazzi2020,article,Federated Learning with Cooperating Devices: A Consensus Approach for Massive IoT Networks,IEEE Internet Things J.,journal (misc.),2020,10.1109/JIOT.2020.2964162,venue DOI
BellavistaDL2021,article,Decentralised Learning in Federated Deployment Environments,ACM Comput. Surv.,journal (misc.),2021,10.1145/3429252,venue DOI
Fedus2022,article,Switch Transformers: Scaling to Trillion Parameter Models with Simple and Efficient Sparsity,J. Mach. Learn. Res.,journal (misc.),2022,10.5555/3648699.3648751,venue DOI
YeDecentralizedFL2022,article,Decentralized Federated Learning with Unreliable Communications,IEEE J. Sel. Top. Signal Process.,journal (misc.),2022,10.1109/jstsp.2022.3152445,venue DOI
DingNature2023,article,Parameter-Efficient Fine-Tuning of Large-Scale Pre-Trained Language Models,Nat. Mach. Intell.,journal (misc.),2023,10.1038/s42256-023-00626-4,venue DOI
LiuDP2023,article,Differentially Private Low-Rank Adaptation of Large Language Model Using Federated Learning,ACM Trans. Manag. Inf. Syst.,journal (misc.),2023,10.1145/3682068,venue DOI
ZhangPrivacySplit2023,article,Privacy and Efficiency of Communications in Federated Split Learning,IEEE Trans. Big Data,journal (misc.),2023,10.1109/TBDATA.2023.3280405,venue DOI
Han2024,article,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Trans. Mach. Learn. Res.,journal (misc.),2024,10.48550/arXiv.2403.14608,arXiv DOI
LiuAdaptive2024,article,Adaptive Parameter-Efficient Federated Fine-Tuning on Heterogeneous Devices,IEEE Trans. Mob. Comput.,journal (misc.),2024,10.1109/TMC.2025.3586644,venue DOI
WangAIReview2024,article,Parameter-Efficient Fine-Tuning in Large Language Models: A Survey of Methodologies,Artif. Intell. Rev.,journal (misc.),2024,10.1007/s10462-025-11236-4,venue DOI
ZhangEdgeShard2025,article,EdgeShard: Efficient LLM Inference via Collaborative Edge Computing,IEEE Internet Things J.,journal (misc.),2025,10.1109/JIOT.2024.3524255,venue DOI
ZhuCannikin2025,article,Cannikin: No Lagger of SLO in Concurrent Multiple LoRA LLM Serving,IEEE Trans. Parallel Distrib. Syst.,journal (misc.),2025,10.1109/TPDS.2025.3590014,venue DOI
